"Symbol","Index","Open","High","Low","Close","Volume"
TSLA,2016-10-15,200.5,200.86,200.5,200.5,32812
TSLA,2016-10-16,200.3975,201.43,200.3975,201.18,24279
TSLA,2016-10-17,199.33,201.3,199.33,200.04,35061
TSLA,2016-10-18,199.04,200.52,199.04,199.71,37156
TSLA,2016-10-19,198.55,199.75,198.55,198.67,84765
TSLA,2016-10-20,198.49,198.9,198.49,198.59,31464
TSLA,2016-10-21,197.85,198.9,197.85,198.104,64728
TSLA,2016-10-22,198.2,198.9,198.2,198.86,37685
TSLA,2016-10-23,198.62,199.45,198.62,199.26,48608
TSLA,2016-10-24,199.3,200.32,199.3,199.8801,81569
TSLA,2016-10-25,199.88,200.23,199.88,200.01,34675
TSLA,2016-10-26,199.7651,200.1995,199.7651,199.84,30214
TSLA,2016-10-27,199.71,200,199.71,199.89,16769
TSLA,2016-10-28,199.84,200.2,199.84,200.2,17056
TSLA,2016-10-29,199.9,200.22,199.9,200.165,15855
TSLA,2016-10-30,199.76,200.19,199.76,199.76,16774
TSLA,2016-10-31,199.42,199.92,199.42,199.5,22153
TSLA,2016-11-01,199.09,199.55,199.09,199.3105,24981
TSLA,2016-11-02,199,199.52,199,199.05,12727
TSLA,2016-11-03,198.63,199.06,198.63,198.77,22264
TSLA,2016-11-04,198.5,199.12,198.5,199.085,25005
TSLA,2016-11-05,198.985,199.3,198.985,199.235,20834
TSLA,2016-11-06,199.18,199.565,199.18,199.37,18643
TSLA,2016-11-07,199.21,199.46,199.21,199.27,13343
TSLA,2016-11-08,199.1,199.39,199.1,199.16,8313
TSLA,2016-11-09,199.03,199.4,199.03,199.32,10226
TSLA,2016-11-10,198.72,199.3056,198.72,198.74,19194
TSLA,2016-11-11,198.52,198.94,198.52,198.52,24398
TSLA,2016-11-12,198.31,198.6579,198.31,198.32,25113
TSLA,2016-11-13,198.1,198.475,198.1,198.1,28282
TSLA,2016-11-14,198.02,198.37,198.02,198.17,15964
TSLA,2016-11-15,198.17,198.39,198.17,198.24,16086
TSLA,2016-11-16,198.1,198.31,198.1,198.1,14823
TSLA,2016-11-17,198.01,198.22,198.01,198.02,13082
TSLA,2016-11-18,198,198.16,198,198,19446
TSLA,2016-11-19,198,198.16,198,198.03,19480
TSLA,2016-11-20,198,198.2,198,198.12,6987
TSLA,2016-11-21,198,198.128,198,198.07,9079
