symbol | tradetime           | close    | high     | low      | open     | volume
GOOG | 2016-10-10 20:00:00 |   785.82 |   786.44 |   785.82 |   785.94 | 122574
GOOG | 2016-10-12 13:30:00 |   786.66 |   786.75 |   786.66 |   786.75 |  15346
GOOG | 2016-10-12 13:32:00 |   786.12 |   788.06 |   786.12 |   787.78 |   6188
GOOG | 2016-10-12 13:34:00 |    787.6 |   789.35 |    787.6 |    788.3 |  19050
GOOG | 2016-10-12 13:36:00 |  788.368 |      790 |  788.368 |      790 |   7455
GOOG | 2016-10-12 13:38:00 |   790.03 |  791.525 |   790.03 |   790.14 |  10424
GOOG | 2016-10-12 13:40:00 |   789.48 |   790.83 |   789.48 |      790 |  14946
GOOG | 2016-10-12 13:42:00 |   789.71 |  790.296 |   789.71 |   790.29 |   3816
GOOG | 2016-10-12 13:44:00 |  788.802 |   790.26 |  788.802 |   790.07 |  11723
GOOG | 2016-10-12 13:46:00 |  789.361 |   790.28 |  789.361 |  789.361 |   4394
GOOG | 2016-10-12 13:48:00 |   788.01 |   789.86 |   788.01 |   788.03 |   7539
GOOG | 2016-10-12 13:50:00 |   787.95 |   788.87 |   787.95 |   788.75 |   5994
GOOG | 2016-10-12 13:52:00 |  787.535 |  788.935 |  787.535 |   787.71 |  14841
GOOG | 2016-10-12 13:54:00 |   787.53 |    788.1 |   787.53 |   787.66 |   5404
GOOG | 2016-10-12 13:56:00 |  787.001 | 787.7847 |  787.001 |   787.66 |   7830
GOOG | 2016-10-12 13:58:00 |   787.03 |    787.7 |   787.03 |   787.53 |   5196
GOOG | 2016-10-12 14:00:00 |   787.52 |   788.15 |   787.52 |  788.082 |   6338
GOOG | 2016-10-12 14:02:00 |   787.51 |    788.1 |   787.51 |   787.56 |   7404
GOOG | 2016-10-12 14:04:00 |   787.27 |  788.265 |   787.27 |  788.265 |  10056
GOOG | 2016-10-12 14:06:00 | 788.2399 |  789.755 | 788.2399 |   789.47 |  10275
GOOG | 2016-10-12 14:08:00 |   788.71 |  789.465 |   788.71 |  789.465 |   5347
GOOG | 2016-10-12 14:10:00 |   789.13 |   789.68 |   789.13 |   789.21 |   3700
GOOG | 2016-10-12 14:12:00 |   788.58 |   789.53 |   788.58 |   789.23 |   6000
GOOG | 2016-10-12 14:14:00 |   787.91 |   789.13 |   787.91 |   788.66 |   8955
GOOG | 2016-10-12 14:16:00 |   788.46 |   789.37 |   788.46 |   789.16 |   3333
GOOG | 2016-10-12 14:18:00 |   788.98 |  789.612 |   788.98 |   789.43 |   2950
GOOG | 2016-10-12 14:20:00 |   789.31 |  789.647 |   789.31 |   789.61 |   3002
GOOG | 2016-10-12 14:22:00 |   789.44 |    790.4 |   789.44 |   790.38 |   7727
GOOG | 2016-10-12 14:24:00 |  789.625 |   790.39 |  789.625 |   789.84 |  12713
GOOG | 2016-10-12 14:26:00 |   789.71 |    790.4 |   789.71 |   790.01 |   8640
GOOG | 2016-10-12 14:28:00 |      790 |   791.01 |      790 |   790.92 |   6526
GOOG | 2016-10-12 14:30:00 |   790.98 | 791.6999 |   790.98 |   791.22 |   6550
GOOG | 2016-10-12 14:32:00 |   791.07 |   791.44 |   791.07 |   791.32 |   4110
GOOG | 2016-10-12 14:34:00 |   790.95 |   792.01 |   790.95 |  791.885 |   8075
GOOG | 2016-10-12 14:36:00 |   791.24 |   792.28 |   791.24 |    791.5 |   4950
GOOG | 2016-10-12 14:38:00 |   790.95 |   791.42 |   790.95 |    791.2 |   2053
GOOG | 2016-10-12 14:40:00 |    789.9 |    791.3 |    789.9 | 790.0396 |   8842
GOOG | 2016-10-12 14:42:00 |   789.37 |   790.21 |   789.37 |   789.99 |   4000
GOOG | 2016-10-12 14:44:00 |   789.44 |   790.11 |   789.44 |   789.84 |   5256
GOOG | 2016-10-12 14:46:00 | 789.0049 |   789.85 | 789.0049 | 789.0049 |   9560
GOOG | 2016-10-12 14:48:00 |   789.02 |    789.4 |   789.02 | 789.1201 |   4500
GOOG | 2016-10-12 14:50:00 |   789.14 |   789.54 |   789.14 |  789.455 |   3686
GOOG | 2016-10-12 14:52:00 |   788.52 |   789.32 |   788.52 | 788.6742 |   9695
GOOG | 2016-10-12 14:54:00 |   788.15 | 788.6514 |   788.15 | 788.2061 |   3419
GOOG | 2016-10-12 14:56:00 |   788.09 |   788.34 |   788.09 |   788.09 |   3900
GOOG | 2016-10-12 14:58:00 |      788 |    788.3 |      788 |      788 |   3970
GOOG | 2016-10-12 15:00:00 |   786.37 |   787.75 |   786.37 |    786.6 |   7064
GOOG | 2016-10-12 15:02:00 |   786.12 |   786.93 |   786.12 |   786.45 |   3000
GOOG | 2016-10-12 15:04:00 | 785.0601 |   786.46 | 785.0601 |  785.425 |   8788
GOOG | 2016-10-12 15:06:00 |   785.44 |   786.41 |   785.44 | 786.1708 |   5743
GOOG | 2016-10-12 15:08:00 |  785.795 | 786.5596 |  785.795 |  785.795 |   5190
GOOG | 2016-10-12 15:10:00 |    785.1 |   785.91 |    785.1 |  785.324 |   3575
GOOG | 2016-10-12 15:12:00 | 785.2575 |    786.2 | 785.2575 | 785.9001 |   3100
GOOG | 2016-10-12 15:14:00 |    785.3 |   785.94 |    785.3 |   785.75 |   3954
GOOG | 2016-10-12 15:16:00 |  785.155 |   785.75 |  785.155 |  785.155 |   1700
GOOG | 2016-10-12 15:18:00 |  784.574 | 785.1401 |  784.574 |  784.574 |   4277
GOOG | 2016-10-12 15:20:00 |   783.67 |   784.52 |   783.67 |   784.45 |   4789
GOOG | 2016-10-12 15:22:00 |   783.59 |  784.108 |   783.59 |   783.59 |   1000
GOOG | 2016-10-12 15:24:00 |  783.664 |   784.37 |  783.664 |  784.085 |   3220
GOOG | 2016-10-12 15:26:00 |  783.985 |   784.99 |  783.985 |    784.8 |   4831
GOOG | 2016-10-12 15:28:00 |   784.55 |   784.97 |   784.55 |   784.85 |   5054
GOOG | 2016-10-12 15:30:00 |   784.48 |   784.99 |   784.48 |    784.7 |  16057
GOOG | 2016-10-12 15:32:00 |   784.75 |   785.26 |   784.75 |   784.95 |   3113
GOOG | 2016-10-12 15:34:00 |   784.79 |    785.1 |   784.79 |    785.1 |   6982
GOOG | 2016-10-12 15:36:00 |   784.84 |   785.55 |   784.84 |   785.28 |  10764
GOOG | 2016-10-12 15:38:00 |   785.24 |   785.68 |   785.24 |   785.27 |   1502
GOOG | 2016-10-12 15:40:00 |  785.365 |   785.57 |  785.365 |   785.57 |    600
GOOG | 2016-10-12 15:42:00 |   785.25 |   785.72 |   785.25 | 785.4582 |   1800
GOOG | 2016-10-12 15:44:00 |   785.12 |   785.48 |   785.12 |   785.12 |   1772
