symbol,tradetime,open,high,low,close,volume
AAPL,2016-10-12 13:30:00,117.7,117.72,117.61,117.7,905340
AAPL,2016-10-12 13:32:00,118.12,118.13,117.61,117.6699,1867024
AAPL,2016-10-12 13:34:00,118.52,118.6,118.11,118.115,1427908
AAPL,2016-10-12 13:36:00,118.2776,118.53,118.26,118.53,780856
AAPL,2016-10-12 13:38:00,118.28,118.41,118.23,118.28,806364
AAPL,2016-10-12 13:40:00,118.47,118.55,118.27,118.28,795170
AAPL,2016-10-12 13:42:00,118.535,118.6,118.34,118.47,581720
AAPL,2016-10-12 13:44:00,118.3699,118.54,118.32,118.535,556946
AAPL,2016-10-12 13:46:00,118.5689,118.57,118.37,118.37,575312
AAPL,2016-10-12 13:48:00,118.57,118.69,118.51,118.565,685440
AAPL,2016-10-12 13:50:00,118.45,118.65,118.4,118.57,582034
AAPL,2016-10-12 13:52:00,118.05,118.46,118.02,118.445,958258
AAPL,2016-10-12 13:54:00,118.1498,118.1699,118.03,118.06,555056
AAPL,2016-10-12 13:56:00,117.8,118.15,117.72,118.1401,782480
AAPL,2016-10-12 13:58:00,117.9521,117.99,117.7999,117.7999,562843
AAPL,2016-10-12 14:00:00,118.149,118.16,117.95,117.95,478427
AAPL,2016-10-12 14:02:00,117.8964,118.14,117.82,118.14,509765
AAPL,2016-10-12 14:04:00,117.7399,117.9,117.69,117.9,399257
AAPL,2016-10-12 14:06:00,117.8227,117.95,117.73,117.73,319935
AAPL,2016-10-12 14:08:00,117.7001,117.89,117.67,117.83,405243
AAPL,2016-10-12 14:10:00,117.72,117.77,117.53,117.72,358020
AAPL,2016-10-12 14:12:00,117.63,117.74,117.59,117.7,320929
AAPL,2016-10-12 14:14:00,117.425,117.63,117.29,117.63,707468
AAPL,2016-10-12 14:16:00,117.4,117.48,117.34,117.4259,349261
AAPL,2016-10-12 14:18:00,117.25,117.43,117.21,117.41,367511
AAPL,2016-10-12 14:20:00,117.38,117.4,117.23,117.25,289258
AAPL,2016-10-12 14:22:00,117.478,117.4884,117.3499,117.3763,337114
AAPL,2016-10-12 14:24:00,117.5348,117.555,117.42,117.4748,263714
AAPL,2016-10-12 14:26:00,117.55,117.63,117.52,117.54,238264
AAPL,2016-10-12 14:28:00,117.659,117.675,117.54,117.55,214979
AAPL,2016-10-12 14:30:00,117.68,117.7,117.54,117.656,271296
AAPL,2016-10-12 14:32:00,117.63,117.8133,117.6,117.68,412218
AAPL,2016-10-12 14:34:00,117.65,117.72,117.585,117.6211,155138
AAPL,2016-10-12 14:36:00,117.65,117.69,117.575,117.66,201117
AAPL,2016-10-12 14:38:00,117.59,117.65,117.56,117.65,154150
AAPL,2016-10-12 14:40:00,117.635,117.65,117.59,117.5989,146438
AAPL,2016-10-12 14:42:00,117.765,117.77,117.61,117.635,216863
AAPL,2016-10-12 14:44:00,117.79,117.84,117.72,117.76,175949
AAPL,2016-10-12 14:46:00,117.78,117.83,117.755,117.78,187811
AAPL,2016-10-12 14:48:00,117.785,117.8,117.7313,117.7762,138562
AAPL,2016-10-12 14:50:00,117.77,117.83,117.74,117.78,127398
AAPL,2016-10-12 14:52:00,117.68,117.765,117.64,117.76,199825
