"Index","Open","High","Low","Close","Volume"
"2018-12-07",781.65,781.79,781.65,781.79,26682
"2018-12-08",781.555,783.56,781.555,783.5,19915
"2018-12-09",782.94,783.95,782.94,783.19,10987
"2018-12-10",782.9,783.72,782.9,783.59,6198
"2018-12-11",782.84,783.8629,782.84,783.4237,6830
"2018-12-12",781.8792,783.7,781.8792,781.965,4400
"2018-12-13",781.7056,782.5277,781.7056,782.27,2860
"2018-12-14",782.11,782.61,782.11,782.44,1407
"2018-12-15",782.38,783.08,782.38,782.82,3668
"2018-12-16",782.805,783.398,782.805,782.9,7138
"2018-12-17",783.082,783.37,783.082,783.36,2378
"2018-12-18",782.8,783.5,782.8,782.8,3350
"2018-12-19",782.11,782.95,782.11,782.5828,2823
"2018-12-20",782.41,782.83,782.41,782.43,1700
"2018-12-21",782.23,782.83,782.23,782.65,3589
"2018-12-22",781.9,782.89,781.9,782,3757
"2018-12-23",781.94,782.4,781.94,782.1,3690
"2018-12-24",781.45,781.98,781.45,781.98,805
"2018-12-25",781.69,782.12,781.69,781.69,3500
"2018-12-26",781.67,782.32,781.67,782.09,2300
"2018-12-27",781.142,781.97,781.142,781.66,4293
"2018-12-28",781.33,781.75,781.33,781.65,2650
"2018-12-29",781.64,782.21,781.64,781.79,2909
"2018-12-30",781.57,781.94,781.57,781.94,2118
"2018-12-31",781.72,782.408,781.72,781.73,5638
"2019-01-01",781.64,782.08,781.64,781.85,1300
"2019-01-02",781.64,782.3,781.64,781.84,3820
"2019-01-03",781.86,782.0837,781.86,781.88,920
"2019-01-04",781.57,781.96,781.57,781.57,2379
"2019-01-05",781.37,781.57,781.37,781.52,1300
"2019-01-06",781.55,781.8573,781.55,781.73,1800
"2019-01-07",781.83,782.39,781.83,782.35,2727
"2019-01-08",781.59,782.21,781.59,781.93,1300
"2019-01-09",781.82,782.02,781.82,781.93,800
"2019-01-10",781.75,782.02,781.75,781.765,917
"2019-01-11",781.81,782.2,781.81,781.87,3298
"2019-01-12",781.83,782.3,781.83,781.952,1200
"2019-01-13",781.71,782.177,781.71,782.0605,520
"2019-01-14",782.08,782.51,782.08,782.3401,2100
"2019-01-15",781.97,782.49,781.97,782,1500
"2019-01-16",782.25,782.56,782.25,782.25,1364
"2019-01-17",781.8801,782.4,781.8801,782.07,2400
"2019-01-18",781.62,782.12,781.62,781.95,1900
"2019-01-19",781.95,782.25,781.95,781.95,3700
"2019-01-20",781.72,781.82,781.72,781.72,200
"2019-01-21",781.97,782.49,781.97,782.32,7303
"2019-01-22",782.16,782.64,782.16,782.16,10925
"2019-01-23",781.85,782.46,781.85,782.03,2500
"2019-01-24",781.3,781.88,781.3,781.52,3015
"2019-01-25",781.21,781.9899,781.21,781.95,2263
"2019-01-26",781.87,782.0184,781.87,781.87,600
"2019-01-27",781.06,781.58,781.06,781.43,2400
"2019-01-28",780.89,781.484,780.89,781.05,3169
"2019-01-29",780.89,781.17,780.89,781.17,1298
"2019-01-30",781.02,781.42,781.02,781.42,400
"2019-01-31",780.87,781.41,780.87,781.28,1997
